@relation class_relation-weka.filters.unsupervised.attribute.Remove-R14-15

@attribute tagName {BODY,DIV,TD,FONT,H1,H2,H3,H4,H5,LI,SPAN,UL,P,EM}
@attribute wordCount_AE numeric
@attribute densityinHTML_AE numeric
@attribute LinkCount_AE numeric
@attribute wordCountinLink_AE numeric
@attribute meanofWordinLinks_AE numeric
@attribute meanofWordinLinksAllWords_AE numeric
@attribute wordCount numeric
@attribute DensityinHTML numeric
@attribute LinkCount numeric
@attribute wordCountinLink numeric
@attribute meanofWordinLinks numeric
@attribute meanofWordinLinksAllWords numeric
@attribute tag_idORclass numeric
@attribute class {IRRELEVANT,MAIN,HEADLINE,INFORMATIONABOUTARTICLE}

@data
DIV,0,0,1,2,2,0,0,0,1,2,2,0,1,IRRELEVANT
DIV,14,0.024779,7,15,2.142857,1.071429,14,0.024779,7,15,2.142857,1.071429,1,IRRELEVANT
UL,14,0.024779,7,15,2.142857,1.071429,14,0.024779,7,15,2.142857,1.071429,1,IRRELEVANT
DIV,439,0.776991,3,16,5.333333,0.036446,444,0.785841,5,22,4.4,0.04955,1,MAIN
DIV,6,0.010619,2,7,3.5,1.166667,6,0.010619,2,7,3.5,1.166667,0,IRRELEVANT
H2,10,0.017699,0,0,0,0,10,0.017699,0,0,0,0,0,HEADLINE
DIV,96,0.169912,9,93,10.333333,0.96875,100,0.176991,10,95,9.5,0.95,1,IRRELEVANT
DIV,30,0.053097,12,33,2.75,1.1,30,0.053097,12,33,2.75,1.1,0,IRRELEVANT
UL,30,0.053097,12,33,2.75,1.1,30,0.053097,12,33,2.75,1.1,1,IRRELEVANT
UL,11,0.020638,5,8,1.6,0.727273,11,0.020638,5,8,1.6,0.727273,0,IRRELEVANT
DIV,1,0.003752,0,0,0,0,1,0.001876,0,0,0,0,1,IRRELEVANT
UL,10,0.018762,5,14,2.8,1.4,10,0.018762,5,14,2.8,1.4,0,IRRELEVANT
UL,40,0.075047,28,41,1.464286,1.025,40,0.075047,28,41,1.464286,1.025,0,IRRELEVANT
UL,9,0.016886,7,10,1.428571,1.111111,9,0.016886,7,10,1.428571,1.111111,0,IRRELEVANT
UL,13,0.02439,5,14,2.8,1.076923,13,0.02439,5,14,2.8,1.076923,0,IRRELEVANT
DIV,8,0.015009,4,6,1.5,0.75,8,0.015009,4,6,1.5,0.75,1,IRRELEVANT
DIV,1,0.001876,0,0,0,0,1,0.001876,0,0,0,0,0,INFORMATIONABOUTARTICLE
H2,1,0.001876,0,0,0,0,1,0.001876,0,0,0,0,0,INFORMATIONABOUTARTICLE
DIV,62,0.116323,0,0,0,0,90,0.168856,5,10,2,0.111111,0,MAIN
H2,7,0.013133,0,0,0,0,7,0.013133,0,0,0,0,0,HEADLINE
DIV,2,0.003752,0,0,0,0,9,0.016886,5,10,2,1.111111,0,IRRELEVANT
DIV,2,0.003752,0,0,0,0,9,0.016886,5,10,2,1.111111,0,IRRELEVANT
DIV,5,0.009381,3,6,2,1.2,5,0.009381,3,6,2,1.2,0,IRRELEVANT
UL,5,0.009381,3,6,2,1.2,5,0.009381,3,6,2,1.2,0,IRRELEVANT
DIV,4,0.007505,2,5,2.5,1.25,4,0.007505,2,5,2.5,1.25,0,IRRELEVANT
UL,4,0.007505,2,5,2.5,1.25,4,0.007505,2,5,2.5,1.25,0,IRRELEVANT
DIV,20,0.037523,0,0,0,0,20,0.037523,0,0,0,0,0,IRRELEVANT
UL,38,0.071295,5,39,7.8,1.026316,38,0.071295,5,39,7.8,1.026316,0,IRRELEVANT
TD,2,0.003752,0,0,0,0,319,0.598499,82,161,1.963415,0.504702,0,IRRELEVANT
DIV,2,0.003752,0,0,0,0,69,0.129456,6,19,3.166667,0.275362,0,IRRELEVANT
DIV,69,0.131332,6,19,3.166667,0.271429,69,0.129456,6,19,3.166667,0.275362,0,IRRELEVANT
DIV,62,0.118199,18,18,1,0.285714,62,0.116323,18,18,1,0.290323,0,IRRELEVANT
DIV,2,0.003752,0,0,0,0,87,0.163227,9,33,3.666667,0.37931,0,IRRELEVANT
DIV,2,0.003752,0,0,0,0,98,0.183865,49,95,1.938776,0.969388,0,IRRELEVANT
DIV,98,0.185741,49,95,1.938776,0.959596,98,0.183865,49,95,1.938776,0.969388,0,IRRELEVANT
TD,20,0.037523,5,11,2.2,0.55,20,0.037523,5,11,2.2,0.55,0,IRRELEVANT
UL,20,0.037523,5,11,2.2,0.55,20,0.037523,5,11,2.2,0.55,0,IRRELEVANT
DIV,2,0.006079,0,0,0,0,16,0.048632,7,12,1.714286,0.75,1,IRRELEVANT
DIV,14,0.042553,6,9,1.5,0.642857,16,0.048632,7,12,1.714286,0.75,1,IRRELEVANT
DIV,2,0.006079,0,0,0,0,28,0.085106,19,22,1.157895,0.785714,1,IRRELEVANT
DIV,9,0.027356,3,4,1.333333,0.444444,9,0.027356,3,4,1.333333,0.444444,1,IRRELEVANT
DIV,6,0.021277,5,7,1.4,1,6,0.018237,6,7,1.166667,1.166667,1,IRRELEVANT
DIV,13,0.039514,10,13,1.3,1,13,0.039514,10,13,1.3,1,1,IRRELEVANT
DIV,1,0.00304,0,0,0,0,1,0.00304,0,0,0,0,1,INFORMATIONABOUTARTICLE
H1,1,0.00304,0,0,0,0,1,0.00304,0,0,0,0,0,INFORMATIONABOUTARTICLE
DIV,14,0.042553,9,15,1.666667,1.071429,14,0.042553,9,15,1.666667,1.071429,1,IRRELEVANT
DIV,12,0.036474,10,16,1.6,1.333333,12,0.036474,10,16,1.6,1.333333,1,IRRELEVANT
DIV,80,0.243161,6,8,1.333333,0.1,83,0.25228,7,11,1.571429,0.13253,1,MAIN
H1,7,0.021277,0,0,0,0,7,0.021277,0,0,0,0,0,HEADLINE
DIV,2,0.006079,0,0,0,0,3,0.009119,1,4,4,1.333333,1,IRRELEVANT
DIV,3,0.009119,1,4,4,1.333333,3,0.009119,1,4,4,1.333333,0,IRRELEVANT
UL,3,0.009119,1,4,4,1.333333,3,0.009119,1,4,4,1.333333,0,IRRELEVANT
UL,47,0.142857,8,49,6.125,1.042553,47,0.142857,8,49,6.125,1.042553,0,IRRELEVANT
DIV,2,0.006079,0,0,0,0,58,0.176292,9,57,6.333333,0.982759,0,IRRELEVANT
